epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.811,1.38504,3.40839,1.27307,0.4587,0.31843,0.30146,0.24298,1.11379,2.51437,1.18705,9.95147e-05,9.95147e-05,9.95147e-05
2,351.225,1.23617,1.85484,1.15978,0.63009,0.29692,0.32096,0.2394,1.11963,1.87137,1.20363,0.000190589,0.000190589,0.000190589
3,561.689,1.21146,1.58459,1.15699,0.62581,0.27582,0.30059,0.24959,1.10513,1.66385,1.19145,0.000271665,0.000271665,0.000271665
4,774.595,1.17895,1.4307,1.15692,0.48438,0.50092,0.45546,0.35588,1.17125,1.46445,1.26872,0.000258004,0.000258004,0.000258004
5,1005.79,1.178,1.30879,1.13429,0.58275,0.45973,0.45798,0.37224,1.08851,1.32286,1.18046,0.000243006,0.000243006,0.000243006
6,1236.74,1.13571,1.23418,1.12602,0.64333,0.65587,0.6676,0.5176,1.09559,1.24598,1.19064,0.000228007,0.000228007,0.000228007
7,1426.98,1.0982,1.15577,1.11021,0.55229,0.73683,0.64639,0.51834,1.10872,1.19129,1.20389,0.000213009,0.000213009,0.000213009
8,1619.6,1.09769,1.08632,1.10948,0.60281,0.71209,0.67533,0.52308,1.14286,1.14823,1.21095,0.00019801,0.00019801,0.00019801
9,1836.22,1.06438,1.04496,1.0894,0.63978,0.627,0.66854,0.52122,1.09375,1.10147,1.16962,0.000183012,0.000183012,0.000183012
10,2045.82,1.05418,1.04284,1.09649,0.67229,0.6966,0.68651,0.53622,1.0618,1.04234,1.15909,0.000168013,0.000168013,0.000168013
11,2336.02,1.04314,0.99684,1.08659,0.66802,0.70457,0.67264,0.52664,1.06209,1.03308,1.1616,0.000153015,0.000153015,0.000153015
12,2587.3,1.03604,0.91104,1.06236,0.62855,0.73407,0.73415,0.58629,1.06205,1.00552,1.18112,0.000138016,0.000138016,0.000138016
13,2791.62,1.01265,0.8824,1.06605,0.64506,0.7132,0.6915,0.55219,1.04771,0.96836,1.15477,0.000123018,0.000123018,0.000123018
14,3003.77,0.96746,0.83616,1.03243,0.67315,0.72625,0.70108,0.56173,1.04301,0.93539,1.14568,0.000108019,0.000108019,0.000108019
15,3211.32,0.96315,0.7844,1.03398,0.67757,0.69983,0.72301,0.58386,1.03094,0.93834,1.14009,9.3021e-05,9.3021e-05,9.3021e-05
16,3447.81,0.93425,0.74179,1.02559,0.64353,0.73851,0.69603,0.55825,1.00652,0.89174,1.12789,7.80225e-05,7.80225e-05,7.80225e-05
17,3652.54,0.93301,0.73263,1.02118,0.63298,0.78634,0.71836,0.57382,1.02537,0.88521,1.14042,6.3024e-05,6.3024e-05,6.3024e-05
18,3916.27,0.91669,0.70633,1.0176,0.64592,0.76163,0.71477,0.57419,1.00211,0.86527,1.12972,4.80255e-05,4.80255e-05,4.80255e-05
19,4199.97,0.90186,0.67422,1.00438,0.67978,0.7547,0.74481,0.60372,1.00561,0.843,1.13406,3.3027e-05,3.3027e-05,3.3027e-05
20,4432.61,0.88945,0.67998,1.00137,0.63899,0.73833,0.74848,0.6067,1.00499,0.83421,1.13299,1.80285e-05,1.80285e-05,1.80285e-05
